employee_id,name,role,category,base_code,contract_type,hire_date,birth_date,is_active,monthly_hours,seniority_years
EMP00046,Empleado_46,Piloto Comandante,Cockpit,SCL,Indefinido,2023-03-05,1973-01-02,1,186,1
EMP00047,Empleado_47,Agente Check-in,Tierra,MAD,Indefinido,2012-05-07,1985-03-12,1,160,12
EMP00048,Empleado_48,Tripulante Cabina Senior,Cabina,,Indefinido,2016-01-13,1988-11-06,1,172,8
EMP00049,Empleado_49,Ground Staff,Tierra,BOG,Indefinido,2019-10-29,1983-07-25,1,190,5
EMP00050,Empleado_50,Tripulante Cabina Senior,Cabina,GRU,Indefinido,2011-07-10,1970-07-03,1,172,13
EMP00051,Empleado_51,Piloto Comandante,Cockpit,EZE,Indefinido,2023-02-15,1995-07-27,1,177,1
EMP00052,Empleado_52,Administrativo,Admin,bogota,Indefinido,2011-07-24,1988-10-24,1,160,13
EMP00053,Empleado_53,Tripulante Cabina Senior,Cabina,LIM,Plazo Fijo,2010-01-11,1977-02-24,1,189,14
EMP00054,Empleado_54,Piloto Copiloto,Cockpit,,Indefinido,2019-01-31,1995-02-24,1,170,5
EMP00055,Empleado_55,Agente Check-in,Tierra,GRU,Indefinido,2014-07-08,1982-02-06,1,188,10
EMP00056,Empleado_56,Administrativo,Admin,MIA,Indefinido,2011-06-06,1979-09-10,1,163,13
EMP00057,Empleado_57,Tripulante Cabina,Cabina,MAD,Indefinido,2018-01-09,1992-04-15,1,190,6
EMP00058,Empleado_58,Seguridad,Tierra,GRU,Indefinido,2021-08-25,1976-01-18,1,179,3
EMP00059,Empleado_59,Ground Staff,Tierra,GRU,Indefinido,2018-11-04,1981-04-02,1,168,6
EMP00060,Empleado_60,Tripulante Cabina,Cabina,EZE,Indefinido,2021-06-19,1971-10-21,0,173,3
EMP00061,Empleado_61,Tripulante Cabina,Cabina,GRU,Indefinido,2019-03-15,1976-01-29,1,173,5
EMP00062,Empleado_62,Tripulante Cabina,Cabina,LIM,Indefinido,2011-03-27,1984-08-07,1,,13
EMP00063,Empleado_63,Supervisor Operaciones,Tierra,SCL,Plazo Fijo,2015-01-09,1989-10-05,1,169,9
EMP00064,Empleado_64,Supervisor Operaciones,Tierra,LIM,Indefinido,2021-07-07,1986-12-14,1,172,3
EMP00065,Empleado_65,Tripulante Cabina,Cabina,GRU,Indefinido,2014-11-09,1975-11-06,1,189,10
EMP00066,Empleado_66,Agente Check-in,Tierra,BOG,Part-time,2024-01-22,1986-10-20,1,179,0
EMP00067,Empleado_67,Agente Check-in,Tierra,GRU,Plazo Fijo,2022-01-12,1990-12-23,,167,2
EMP00068,Empleado_68,Tripulante Cabina,Cabina,BOG,Part-time,2023-07-13,1976-01-20,1,167,1
EMP00069,Empleado_69,Tripulante Cabina Senior,Cabina,lima,Plazo Fijo,2013-11-12,1989-05-28,1,181,11
EMP00070,Empleado_70,Agente Check-in,Tierra,MAD,Indefinido,2015-08-23,1971-04-14,1,168,9
EMP00071,Empleado_71,Supervisor Operaciones,Tierra,LIM,Indefinido,2011-06-03,1997-12-03,1,174,13
EMP00072,Empleado_72,Administrativo,Admin,GRU,Plazo Fijo,2019-09-20,1996-02-12,1,171,5
EMP00073,Empleado_73,Supervisor Operaciones,Tierra,EZE,Indefinido,2021-06-23,1997-04-16,1,182,3
EMP00074,Empleado_74,Piloto Comandante,Cockpit,bogota,Indefinido,2019-07-24,1982-12-10,1,182,5
EMP00075,Empleado_75,Seguridad,Tierra,LIM,Indefinido,2021-01-20,1993-06-19,1,171,3
EMP00076,Empleado_76,Agente Check-in,Tierra,Santiago,Plazo Fijo,2021-06-16,1996-01-06,1,186,3
EMP00077,Empleado_77,Supervisor Operaciones,Tierra,BOG,Part-time,2011-04-06,1980-12-30,1,169,13
EMP00078,Empleado_78,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2022-06-22,1991-07-28,0,177,2
EMP00079,Empleado_79,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2024-06-26,1997-10-23,,,0
EMP00080,Empleado_80,Piloto Comandante,Cockpit,LIM,Part-time,2010-01-14,1990-08-21,1,177,14
EMP00081,Empleado_81,Piloto Comandante,Cockpit,EZE,Honorarios,2018-07-20,1989-11-13,0,183,6
EMP00082,Empleado_82,Piloto Copiloto,Cockpit,MIA,Honorarios,2012-02-09,1989-09-18,0,179,12
EMP00083,Empleado_83,Agente Check-in,Tierra,LIM,Part-time,2013-07-19,1982-04-26,1,169,11
EMP00084,Empleado_84,Piloto Comandante,Cockpit,GRU,Indefinido,2021-12-12,1993-11-08,1,170,3
EMP00085,Empleado_85,Ground Staff,Tierra,,Indefinido,2024-01-23,1995-08-05,1,185,0
EMP00086,Empleado_86,Tecnico Mantencion,Tierra,MIA,Indefinido,2012-02-05,1980-05-07,0,185,12
EMP00087,Empleado_87,Ground Staff,Tierra,MIA,Plazo Fijo,2011-07-20,1977-10-07,1,189,13
EMP00088,Empleado_88,Piloto Comandante,Cockpit,SCL,Plazo Fijo,2018-10-24,1994-08-13,1,186,6
EMP00089,Empleado_89,Tripulante Cabina,Cabina,lima,Indefinido,2015-01-14,1994-10-22,1,178,9
EMP00090,Empleado_90,Tripulante Cabina,Cabina,BOG,Plazo Fijo,2017-05-30,1972-12-24,1,181,7
EMP00091,Empleado_91,Supervisor Operaciones,Tierra,SCL,Plazo Fijo,2010-01-21,1980-07-17,,185,14
EMP00092,Empleado_92,Seguridad,Tierra,LIM,Indefinido,2022-04-27,1995-09-23,1,170,2
EMP00093,Empleado_93,TCABIN,,JFK,Part-time,2022-04-20,1985-11-07,1,190,2
EMP00094,Empleado_94,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2018-01-16,1975-04-21,1,160,6
EMP00095,Empleado_95,Ground Staff,Tierra,SCL,Indefinido,2010-03-11,1982-11-17,1,184,14
EMP00096,Empleado_96,Tripulante Cabina,Cabina,GRU,Indefinido,2012-07-10,1978-11-26,1,190,12
EMP00097,Empleado_97,Piloto Comandante,Cockpit,BOG,Indefinido,2017-01-13,1973-08-31,0,170,7
EMP00098,Empleado_98,Tripulante Cabina Senior,Cabina,GRU,Plazo Fijo,2014-10-30,1978-05-12,1,,10
EMP00099,Empleado_99,Tripulante Cabina,Cabina,GRU,Honorarios,2023-07-11,1972-05-01,1,177,1
EMP00100,Empleado_100,Agente Check-in,Tierra,BOG,Indefinido,2015-01-17,1992-07-08,1,168,9
EMP00101,Empleado_101,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2021-01-03,1994-09-07,1,175,3
EMP00102,Empleado_102,Agente Check-in,Tierra,BOG,Indefinido,2010-07-17,1974-06-27,1,168,14
EMP00103,Empleado_103,Agente Check-in,Tierra,SCL,Honorarios,2019-01-11,1979-08-07,1,183,5
EMP00104,Empleado_104,Piloto Comandante,Cockpit,JFK,Indefinido,2020-02-22,1983-06-12,1,187,4
EMP00105,Empleado_105,Ground Staff,Tierra,LIM,Plazo Fijo,2021-10-25,1990-01-15,0,166,3
EMP00106,Empleado_106,Piloto Copiloto,Cockpit,LIM,Part-time,2020-03-29,1978-07-31,1,168,4
EMP00107,Empleado_107,Piloto Copiloto,Cockpit,LIM,Plazo Fijo,2022-07-02,1987-10-26,1,173,2
EMP00108,Empleado_108,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2017-08-17,1976-12-08,1,184,7
EMP00109,Empleado_109,Ground Staff,Tierra,LIM,Indefinido,2013-03-20,1975-11-28,0,170,11
EMP00110,Empleado_110,Piloto Comandante,Cockpit,BOG,Indefinido,2015-01-12,1983-09-30,1,190,9
EMP00111,Empleado_111,Administrativo,Admin,LIM,Indefinido,2013-07-13,1998-06-29,1,166,11
EMP00112,Empleado_112,Piloto Copiloto,Cockpit,LIM,Indefinido,2022-01-26,1975-10-15,1,172,2
EMP00113,Empleado_113,Tripulante Cabina,Cabina,EZE,Part-time,2016-11-20,1972-01-24,,167,8
EMP00114,Empleado_114,Tripulante Cabina,Cabina,GRU,Part-time,2023-10-11,1996-01-19,1,170,1
EMP00115,Empleado_115,Piloto Comandante,Cockpit,GRU,Indefinido,2014-01-26,1991-03-30,0,161,10
EMP00116,Empleado_116,Tripulante Cabina Senior,Cabina,MAD,Indefinido,2020-11-14,1991-06-06,0,165,4
EMP00117,Empleado_117,Tripulante Cabina,Cabina,GRU,Part-time,2011-01-08,1976-01-17,0,161,13
EMP00118,Empleado_118,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2021-07-22,1998-05-03,1,166,3
EMP00119,Empleado_119,Tripulante Cabina,Cabina,GRU,Indefinido,2022-02-13,1970-11-15,0,187,2
EMP00120,Empleado_120,Tripulante Cabina Senior,Cabina,EZE,Indefinido,2023-01-18,1993-04-23,1,160,1
EMP00121,Empleado_121,Ground Staff,Tierra,SCL,Indefinido,2020-07-27,1971-02-12,1,187,4
EMP00122,Empleado_122,Ground Staff,Tierra,SCL,Plazo Fijo,2013-03-09,1985-09-30,1,186,11
EMP00123,Empleado_123,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2015-01-22,1976-10-19,0,171,9
EMP00124,Empleado_124,Tripulante Cabina Senior,Cabina,BOG,Indefinido,2011-02-26,1995-11-23,1,190,13
EMP00125,Empleado_125,Tripulante Cabina,Cabina,GRU,Indefinido,2015-07-16,1990-05-15,1,163,9
EMP00126,Empleado_126,Piloto Comandante,Cockpit,Santiago,Indefinido,2013-05-10,1976-04-06,1,177,11
EMP00127,Empleado_127,Agente Check-in,Tierra,GRU,Indefinido,2021-03-26,1971-06-20,1,172,3
EMP00128,Empleado_128,Piloto Copiloto,Cockpit,LIM,Indefinido,2020-10-01,1993-09-30,1,172,4
EMP00129,Empleado_129,Supervisor Operaciones,Tierra,BOG,Part-time,2020-02-10,1973-02-08,1,184,4
EMP00130,Empleado_130,Ground Staff,Tierra,,Part-time,2011-09-21,1984-07-03,1,178,13
EMP00131,Empleado_131,Piloto Copiloto,Cockpit,SCL,Indefinido,2024-03-25,1980-05-20,1,172,0
EMP00132,Empleado_132,Supervisor Operaciones,Tierra,SCL,Indefinido,2012-01-13,1998-10-26,1,187,12
EMP00133,Empleado_133,Agente Check-in,Tierra,BOG,Part-time,2019-10-11,1977-05-28,1,160,5
EMP00134,Empleado_134,Piloto Comandante,Cockpit,BOG,Indefinido,2018-07-30,1994-09-30,1,164,6
EMP00135,Empleado_135,Tripulante Cabina,Cabina,GRU,Indefinido,2014-02-21,1993-05-04,1,162,10
EMP00136,Empleado_136,Ground Staff,Tierra,EZE,Indefinido,2011-09-14,1992-07-13,,182,13
EMP00137,Empleado_137,Agente Check-in,Tierra,MIA,Part-time,2024-05-23,1970-07-23,1,167,0
EMP00138,Empleado_138,Supervisor Operaciones,Tierra,EZE,Indefinido,2015-07-06,1985-11-09,1,171,9
EMP00139,Empleado_139,Tripulante Cabina,Cabina,GRU,Part-time,2011-08-13,1993-07-21,1,176,13
EMP00140,Empleado_140,Tripulante Cabina,Cabina,lima,Honorarios,2021-01-15,1986-07-13,1,172,3
EMP00141,Empleado_141,Piloto Copiloto,Cockpit,SCL,Indefinido,2014-07-26,1981-07-01,1,180,10
EMP00142,Empleado_142,Tripulante Cabina Senior,Cabina,GRU,Indefinido,2011-07-18,1978-10-31,1,177,13
EMP00143,Empleado_143,Agente Check-in,Tierra,LIM,Indefinido,2024-01-12,1994-12-13,1,187,0
EMP00144,Empleado_144,Tripulante Cabina,Cabina,SCL,Indefinido,2015-04-16,1983-08-21,1,174,9
EMP00145,Empleado_145,Administrativo,Admin,SCL,Part-time,2021-05-01,1995-10-30,1,182,3
EMP00146,Empleado_146,Ground Staff,Tierra,SCL,Indefinido,2013-11-25,1980-07-21,1,178,11
EMP00147,Empleado_147,Tecnico Mantencion,Tierra,SCL,Plazo Fijo,2017-08-29,1982-09-12,1,186,7
EMP00148,Empleado_148,Tripulante Cabina Senior,Cabina,JFK,Indefinido,2012-07-19,1983-04-08,1,179,12
EMP00149,Empleado_149,Piloto Copiloto,Cockpit,SCL,Honorarios,2013-11-23,1986-04-29,1,163,11
EMP00150,Empleado_150,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2022-01-10,1986-06-20,1,175,2
EMP00151,Empleado_151,Tripulante Cabina,Cabina,BOG,Indefinido,2011-08-30,1985-10-22,0,169,13
EMP00152,Empleado_152,Tripulante Cabina Senior,Cabina,SCL,Honorarios,2021-02-17,1981-04-07,1,185,3
EMP00153,Empleado_153,Administrativo,Admin,GRU,Indefinido,2011-01-22,1978-04-03,1,171,13
EMP00154,Empleado_154,Tripulante Cabina,Cabina,JFK,Indefinido,2011-03-23,1990-09-19,1,174,13
EMP00155,Empleado_155,Supervisor Operaciones,Tierra,BOG,Plazo Fijo,2010-07-02,1972-12-11,1,168,14
EMP00156,Empleado_156,Agente Check-in,Tierra,SCL,Indefinido,2020-01-16,1989-11-09,1,171,4
EMP00157,Empleado_157,Piloto Copiloto,Cockpit,BOG,Plazo Fijo,2021-09-04,1995-11-15,1,165,3
EMP00158,Empleado_158,Tripulante Cabina,Cabina,GRU,Indefinido,2024-04-23,1988-01-21,1,182,0
EMP00159,Empleado_159,Tripulante Cabina Senior,Cabina,GRU,Indefinido,2023-12-13,1974-09-19,1,170,1
EMP00160,Empleado_160,Agente Check-in,Tierra,SCL,Part-time,2011-01-17,1997-09-30,1,182,13
EMP00161,Empleado_161,Supervisor Operaciones,Tierra,SCL,Indefinido,2020-08-21,1973-05-15,1,171,4
EMP00162,Empleado_162,Administrativo,Admin,BOG,Plazo Fijo,2013-02-22,1991-07-02,1,184,11
EMP00163,Empleado_163,Ground Staff,Tierra,GRU,Honorarios,2016-07-20,1970-04-08,1,187,8
EMP00164,Empleado_164,Ground Staff,Tierra,GRU,Plazo Fijo,2010-02-24,1973-07-17,1,172,14
EMP00165,Empleado_165,Agente Check-in,Tierra,SCL,Indefinido,2017-07-05,1994-08-21,1,,7
EMP00166,Empleado_166,Tripulante Cabina,Cabina,SCL,Indefinido,2024-02-09,1973-08-15,1,189,0
EMP00167,Empleado_167,Agente Check-in,Tierra,LIM,Indefinido,2018-01-04,1999-03-15,1,164,6
EMP00168,Empleado_168,Tripulante Cabina,Cabina,MIA,Indefinido,2019-01-03,1970-03-02,1,186,5
EMP00169,Empleado_169,Seguridad,Tierra,GRU,Indefinido,2013-01-18,1989-02-11,1,165,11
EMP00170,Empleado_170,Tripulante Cabina,Cabina,BOG,Indefinido,2021-07-03,1987-01-27,1,170,3
EMP00171,Empleado_171,Ground Staff,Tierra,SCL,Indefinido,2017-09-02,1983-08-03,1,189,7
EMP00172,Empleado_172,Ground Staff,Tierra,BOG,Part-time,2012-01-15,1976-08-10,1,176,12
EMP00173,Empleado_173,Ground Staff,Tierra,SCL,Part-time,2019-01-04,1978-05-18,1,161,5
EMP00174,Empleado_174,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2016-10-23,1987-10-28,1,183,8
EMP00175,Empleado_175,Tecnico Mantencion,Tierra,bogota,Part-time,2021-05-13,1982-07-28,1,167,3
EMP00176,Empleado_176,Agente Check-in,Tierra,SCL,Indefinido,2023-01-08,1996-11-10,0,177,1
EMP00177,Empleado_177,Ground Staff,Tierra,GRU,Indefinido,2012-07-01,1982-05-27,1,180,12
EMP00178,Empleado_178,Tripulante Cabina,Cabina,Santiago,Part-time,2022-10-20,1983-10-07,1,187,2
EMP00179,Empleado_179,Tripulante Cabina,Cabina,LIM,Indefinido,2021-07-14,1994-08-11,1,167,3
EMP00180,Empleado_180,Tripulante Cabina,Cabina,GRU,Part-time,2024-05-17,1987-12-19,1,181,0
EMP00181,Empleado_181,Tripulante Cabina Senior,Cabina,GRU,Indefinido,2013-07-29,1989-08-11,1,180,11
EMP00182,Empleado_182,Administrativo,Admin,BOG,Plazo Fijo,2023-06-03,1973-12-11,1,164,1
EMP00183,Empleado_183,Supervisor Operaciones,Tierra,GRU,Plazo Fijo,2014-01-04,1993-02-05,1,173,10
EMP00184,Empleado_184,Agente Check-in,Tierra,LIM,Indefinido,2015-11-02,1986-07-15,0,182,9
EMP00185,Empleado_185,Tripulante Cabina Senior,Cabina,GRU,Plazo Fijo,2019-07-18,1976-05-19,1,167,5
EMP00186,Empleado_186,Tecnico Mantencion,Tierra,BOG,Indefinido,2019-04-23,1989-06-06,1,172,5
EMP00187,Empleado_187,Tripulante Cabina Senior,Cabina,BOG,Indefinido,2024-05-11,1997-01-03,1,173,0
EMP00188,Empleado_188,Tecnico Mantencion,Tierra,BOG,Indefinido,2010-04-12,1976-05-22,1,169,14
EMP00189,Empleado_189,Tripulante Cabina,Cabina,GRU,Indefinido,2014-03-16,1985-02-10,0,160,10
EMP00190,Empleado_190,Tripulante Cabina Senior,Cabina,SCL,Plazo Fijo,2022-06-01,1980-04-08,1,175,2
EMP00191,Empleado_191,Piloto Comandante,Cockpit,SCL,Honorarios,2015-12-05,1971-10-30,1,,9
EMP00192,Empleado_192,Supervisor Operaciones,Tierra,MIA,Part-time,2024-07-06,1970-02-21,1,166,0
EMP00193,Empleado_193,Tecnico Mantencion,Tierra,SCL,Plazo Fijo,2024-05-06,1977-06-28,1,161,0
EMP00194,Empleado_194,Tripulante Cabina,Cabina,N/A,Plazo Fijo,2016-07-23,1990-11-17,1,165,8
EMP00195,Empleado_195,Agente Check-in,Tierra,LIM,Plazo Fijo,2023-10-02,1973-02-06,1,164,1
EMP00196,Empleado_196,Tecnico Mantencion,Tierra,sao paulo,Plazo Fijo,2012-01-01,1985-05-08,1,187,12
EMP00197,Empleado_197,Tripulante Cabina,Cabina,LIM,Indefinido,2021-09-20,1998-09-03,1,164,3
EMP00198,Empleado_198,Tripulante Cabina,Cabina,GRU,Indefinido,2013-08-04,1989-10-19,1,183,11
EMP00199,Empleado_199,Agente Check-in,Tierra,SCL,Plazo Fijo,2020-01-25,1986-04-22,1,184,4
EMP00200,Empleado_200,Tripulante Cabina Senior,Cabina,MAD,Indefinido,2018-07-15,1991-01-15,0,164,6
EMP00201,Empleado_201,Ground Staff,Tierra,N/A,Indefinido,2021-05-23,1997-04-06,1,173,3
EMP00202,Empleado_202,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2021-01-14,1985-10-20,1,182,3
EMP00203,Empleado_203,Piloto Comandante,Cockpit,EZE,Honorarios,2018-11-26,1974-10-18,1,176,6
EMP00204,Empleado_204,Piloto Copiloto,Cockpit,MIA,Indefinido,2013-01-16,1977-04-25,1,179,11
EMP00205,Empleado_205,Tecnico Mantencion,Tierra,EZE,Honorarios,2023-10-02,1996-11-09,1,169,1
EMP00206,Empleado_206,Tripulante Cabina,Cabina,SCL,Indefinido,2021-01-15,1971-11-15,1,184,3
EMP00207,Empleado_207,Agente Check-in,Tierra,Santiago,Indefinido,2011-07-04,1987-08-05,0,172,13
EMP00208,Empleado_208,Tecnico Mantencion,Tierra,,Honorarios,2010-05-02,1985-07-12,1,168,14
EMP00209,Empleado_209,Agente Check-in,Tierra,MAD,Indefinido,2012-10-16,1985-08-29,1,165,12
EMP00210,Empleado_210,Piloto Comandante,Cockpit,SCL,Plazo Fijo,2019-01-11,1995-12-14,1,163,5
EMP00211,Empleado_211,Ground Staff,Tierra,LIM,Indefinido,2021-12-02,1984-05-17,1,183,3
EMP00212,Empleado_212,Tripulante Cabina Senior,Cabina,MIA,Indefinido,2012-04-23,1989-02-12,1,174,12
EMP00213,Empleado_213,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2011-01-20,1996-09-25,1,186,13
EMP00214,Empleado_214,Piloto Comandante,Cockpit,SCL,Part-time,2017-10-15,1989-04-03,1,169,7
EMP00215,Empleado_215,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2016-07-08,1977-07-09,1,182,8
EMP00216,Empleado_216,Tecnico Mantencion,Tierra,BOG,Indefinido,2013-07-17,1980-12-22,1,187,11
EMP00217,Empleado_217,Piloto Comandante,Cockpit,MIA,Plazo Fijo,2010-01-08,1999-01-05,1,176,14
EMP00218,Empleado_218,Ground Staff,Tierra,GRU,Plazo Fijo,2017-01-14,1982-09-27,1,179,7
EMP00219,Empleado_219,Administrativo,Admin,SCL,Part-time,2013-09-30,1996-08-20,,188,11
EMP00220,Empleado_220,Ground Staff,Tierra,LIM,Indefinido,2010-03-04,1996-07-17,1,189,14
EMP00221,Empleado_221,Tripulante Cabina Senior,Cabina,EZE,Indefinido,2010-06-12,1981-12-26,1,188,14
EMP00222,Empleado_222,Seguridad,Tierra,GRU,Plazo Fijo,2022-11-09,1986-01-21,1,179,2
EMP00223,Empleado_223,Piloto Copiloto,Cockpit,MAD,Indefinido,2013-08-07,1982-10-25,1,182,11
EMP00224,Empleado_224,Agente Check-in,Tierra,BOG,Plazo Fijo,2024-09-05,1986-10-02,1,183,0
EMP00225,Empleado_225,Supervisor Operaciones,Tierra,BOG,Part-time,2022-07-29,1971-05-07,1,172,2
EMP00226,Empleado_226,Administrativo,Admin,BOG,Indefinido,2022-10-28,1970-12-08,1,163,2
EMP00227,Empleado_227,Ground Staff,Tierra,JFK,Indefinido,2017-03-26,1993-10-30,1,187,7
EMP00228,Empleado_228,Seguridad,Tierra,SCL,Indefinido,2020-11-05,1992-06-09,1,179,4
EMP00229,Empleado_229,Agente Check-in,Tierra,BOG,Plazo Fijo,2014-05-28,1983-03-25,1,160,10
EMP00230,Empleado_230,Tripulante Cabina Senior,Cabina,sao paulo,Indefinido,2014-04-01,1987-03-08,1,179,10
EMP00231,Empleado_231,Tripulante Cabina,Cabina,LIM,Indefinido,2011-07-26,1988-11-13,1,165,13
EMP00232,Empleado_232,Ground Staff,Tierra,SCL,Indefinido,2013-06-22,1992-09-16,1,168,11
EMP00233,Empleado_233,Agente Check-in,Tierra,bogota,Indefinido,2012-02-11,1981-11-08,1,162,12
EMP00234,Empleado_234,Tripulante Cabina,Cabina,SCL,Indefinido,2020-01-14,1970-02-14,0,166,4
EMP00235,Empleado_235,Supervisor Operaciones,Tierra,GRU,Indefinido,2024-07-19,1977-05-21,1,163,0
EMP00236,Empleado_236,Piloto Comandante,Cockpit,GRU,Part-time,2024-04-30,1988-06-16,1,186,0
EMP00237,Empleado_237,Tripulante Cabina,Cabina,SCL,Plazo Fijo,2015-01-29,1996-03-23,1,180,9
EMP00238,Empleado_238,Agente Check-in,Tierra,SCL,Indefinido,2015-02-10,1979-07-12,0,176,9
EMP00239,Empleado_239,Tripulante Cabina,Cabina,SCL,Indefinido,2019-07-07,1990-02-21,1,160,5
